UF;MUNICIPIO
AL;ARAPIRACA
AM;MANAUS
AP;MACAPA
BA;BARREIRAS
BA;EUNAPOLIS
BA;GUANAMBI
BA;ILHEUS
BA;ITABUNA
BA;JEQUIE
BA;LUIS EDUARDO MAGALHAES
BA;PORTO SEGURO
BA;SANTO ANTONIO DE JESUS
BA;TEIXEIRA DE FREITAS
BA;VITORIA DA CONQUISTA
CE;CRATO
CE;JUAZEIRO DO NORTE
CE;SOBRAL
ES;CACHOEIRO DE ITAPEMIRIM
ES;GUARAPARI
ES;SANTA MARIA DE JETIBA
ES;VIANA
GO;FORMOSA
GO;INHUMAS
GO;ITABERAI
GO;JARAGUA
GO;JATAI
GO;MINEIROS
MA;ACAILANDIA
MA;BALSAS
MA;IMPERATRIZ
MA;PACO DO LUMIAR
MA;SANTA INES
MA;SAO JOSE DE RIBAMAR
MA;SAO LUIS
MG;DIVINOPOLIS
MG;IBIRITE
MG;NOVA LIMA
MG;POCOS DE CALDAS
MG;POUSO ALEGRE
MG;RIBEIRAO DAS NEVES
MG;SANTA LUZIA
MG;SETE LAGOAS
MG;TIMOTEO
MG;TRES CORACOES
MG;UBERABA
MG;UBERLANDIA
MS;TRES LAGOAS
MT;CAMPO VERDE
MT;LUCAS DO RIO VERDE
MT;NOVA MUTUM
MT;PRIMAVERA DO LESTE
MT;SINOP
MT;SORRISO
MT;TANGARA DA SERRA
PA;ALTAMIRA
PA;BELEM
PA;CANAA DOS CARAJAS
PA;CAPANEMA
PA;CASTANHAL
PA;PARAGOMINAS
PA;PARAUAPEBAS
PA;REDENCAO
PA;TUCURUI
PB;CABEDELO
PB;PATOS
PE;GARANHUNS
PE;PETROLINA
PI;PARNAIBA
PI;PICOS
PI;TERESINA
RJ;ANGRA DOS REIS
RJ;ARARUAMA
RJ;ARMACAO DOS BUZIOS
RJ;BARRA DO PIRAI
RJ;BARRA MANSA
RJ;CABO FRIO
RJ;IGUABA GRANDE
RJ;ITAPERUNA
RJ;MANGARATIBA
RJ;PARATY
RJ;PETROPOLIS
RJ;RESENDE
RJ;RIO BONITO
RJ;RIO DAS OSTRAS
RJ;SAO PEDRO DA ALDEIA
RJ;TERESOPOLIS
RJ;TRES RIOS
RJ;VALENCA
RJ;VOLTA REDONDA
RN;MOSSORO
RN;PARNAMIRIM
RO;JI-PARANA
RS;ALEGRETE
RS;BAGE
RS;CACHOEIRA DO SUL
RS;CAMAQUA
RS;CANELA
RS;CAPAO DA CANOA
RS;CARAZINHO
RS;CARLOS BARBOSA
RS;CHARQUEADAS
RS;DOIS IRMAOS
RS;ERECHIM
RS;ESTRELA
RS;FLORES DA CUNHA
RS;GARIBALDI
RS;GRAMADO
RS;IGREJINHA
RS;IJUI
RS;IVOTI
RS;LAGOA VERMELHA
RS;LAJEADO
RS;NOVA PETROPOLIS
RS;OSORIO
RS;PALMEIRA DAS MISSOES
RS;SANT ANA DO LIVRAMENTO
RS;SAO MARCOS
RS;SARANDI
RS;TAQUARA
RS;TEUTONIA
RS;TORRES
RS;TRAMANDAI
RS;URUGUAIANA
RS;VACARIA
RS;VENANCIO AIRES
RS;VERANOPOLIS
RS;XANGRI-LA
SC;CAPINZAL
SC;CONCORDIA
SC;FRAIBURGO
SC;GAROPABA
SC;IMBITUBA
SC;MAFRA
SC;NAVEGANTES
SC;POMERODE
SC;RIO DO SUL
SC;SAO BENTO DO SUL
SE;LAGARTO
TO;ARAGUAINA
TO;PALMAS
